month,expense_category,department_owner,supplier_name,actual_cost_eur,budget_cost_eur,variance_eur,classification,synthetic_record
2026-01,Office rent and facilities,Corporate,Synthetic Supplier - Office,35100.0,39000.0,-3900.0,FINANCE_RESTRICTED,True
2026-02,Office rent and facilities,Corporate,Synthetic Supplier - Office,35100.0,39000.0,-3900.0,FINANCE_RESTRICTED,True
2026-03,Office rent and facilities,Corporate,Synthetic Supplier - Office,37440.0,39000.0,-1560.0,FINANCE_RESTRICTED,True
2026-04,Office rent and facilities,Corporate,Synthetic Supplier - Office,37440.0,39000.0,-1560.0,FINANCE_RESTRICTED,True
2026-05,Office rent and facilities,Corporate,Synthetic Supplier - Office,39780.0,39000.0,780.0,FINANCE_RESTRICTED,True
2026-06,Office rent and facilities,Corporate,Synthetic Supplier - Office,39780.0,39000.0,780.0,FINANCE_RESTRICTED,True
2026-07,Office rent and facilities,Corporate,Synthetic Supplier - Office,32760.0,39000.0,-6240.0,FINANCE_RESTRICTED,True
2026-08,Office rent and facilities,Corporate,Synthetic Supplier - Office,30420.0,39000.0,-8580.0,FINANCE_RESTRICTED,True
2026-09,Office rent and facilities,Corporate,Synthetic Supplier - Office,42120.0,39000.0,3120.0,FINANCE_RESTRICTED,True
2026-10,Office rent and facilities,Corporate,Synthetic Supplier - Office,44460.0,39000.0,5460.0,FINANCE_RESTRICTED,True
2026-11,Office rent and facilities,Corporate,Synthetic Supplier - Office,42120.0,39000.0,3120.0,FINANCE_RESTRICTED,True
2026-12,Office rent and facilities,Corporate,Synthetic Supplier - Office,51480.0,39000.0,12480.0,FINANCE_RESTRICTED,True
2026-01,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,21450.0,23833.33,-2383.33,FINANCE_RESTRICTED,True
2026-02,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,21450.0,23833.33,-2383.33,FINANCE_RESTRICTED,True
2026-03,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,22880.0,23833.33,-953.33,FINANCE_RESTRICTED,True
2026-04,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,22880.0,23833.33,-953.33,FINANCE_RESTRICTED,True
2026-05,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,24310.0,23833.33,476.67,FINANCE_RESTRICTED,True
2026-06,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,24310.0,23833.33,476.67,FINANCE_RESTRICTED,True
2026-07,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,20020.0,23833.33,-3813.33,FINANCE_RESTRICTED,True
2026-08,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,18590.0,23833.33,-5243.33,FINANCE_RESTRICTED,True
2026-09,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,25740.0,23833.33,1906.67,FINANCE_RESTRICTED,True
2026-10,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,27170.0,23833.33,3336.67,FINANCE_RESTRICTED,True
2026-11,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,25740.0,23833.33,1906.67,FINANCE_RESTRICTED,True
2026-12,Corporate software subscriptions,Corporate,Synthetic Supplier - Corporate,31460.0,23833.33,7626.67,FINANCE_RESTRICTED,True
2026-01,Cloud infrastructure - internal,Corporate,Synthetic Supplier - Cloud,25650.0,28500.0,-2850.0,FINANCE_RESTRICTED,True
2026-02,Cloud infrastructure - internal,Corporate,Synthetic Supplier - Cloud,25650.0,28500.0,-2850.0,FINANCE_RESTRICTED,True
2026-03,Cloud infrastructure - internal,Corporate,Synthetic Supplier - Cloud,27360.0,28500.0,-1140.0,FINANCE_RESTRICTED,True
2026-04,Cloud infrastructure - internal,Corporate,Synthetic Supplier - Cloud,27360.0,28500.0,-1140.0,FINANCE_RESTRICTED,True
