raid_id,project_id,project_name,raid_type,title,description,impact_rating,probability_rating,overall_rating,owner_name,date_identified,target_resolution_date,status,mitigation_or_action,last_update,classification,synthetic_record
P001-R-01,P001,LuxHealth Data Platform,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Maya Fernandes,2026-01-26,2026-05-05,Open,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P001-R-02,P001,LuxHealth Data Platform,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Maya Fernandes,2026-02-02,2026-06-04,Monitoring,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P001-I-01,P001,LuxHealth Data Platform,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Maya Fernandes,2026-02-09,2026-07-04,Closed,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P001-A-01,P001,LuxHealth Data Platform,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Jean Schmit,2026-02-16,2026-08-03,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P001-D-01,P001,LuxHealth Data Platform,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Maya Fernandes,2026-02-23,2026-09-02,Mitigating,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P002-R-01,P002,Sovereign AI Factory,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Maya Fernandes,2026-02-23,2026-06-02,Open,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P002-R-02,P002,Sovereign AI Factory,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Maya Fernandes,2026-03-02,2026-07-02,Mitigating,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P002-I-01,P002,Sovereign AI Factory,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Maya Fernandes,2026-03-09,2026-08-01,Open,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P002-A-01,P002,Sovereign AI Factory,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Luca Conti,2026-03-16,2026-08-31,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P002-D-01,P002,Sovereign AI Factory,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Maya Fernandes,2026-03-23,2026-09-30,Open,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P003-R-01,P003,Core Banking Modernisation,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Julien Bernard,2026-01-26,2026-05-05,Mitigating,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P003-R-02,P003,Core Banking Modernisation,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Julien Bernard,2026-02-02,2026-06-04,Monitoring,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P003-I-01,P003,Core Banking Modernisation,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Julien Bernard,2026-02-09,2026-07-04,Closed,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P003-A-01,P003,Core Banking Modernisation,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Amélie Dubois,2026-02-16,2026-08-03,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P003-D-01,P003,Core Banking Modernisation,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Julien Bernard,2026-02-23,2026-09-02,Open,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P004-R-01,P004,Smart Mobility Analytics,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Julien Bernard,2026-03-23,2026-06-30,Monitoring,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P004-R-02,P004,Smart Mobility Analytics,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Julien Bernard,2026-03-30,2026-07-30,Monitoring,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P004-I-01,P004,Smart Mobility Analytics,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Julien Bernard,2026-04-06,2026-08-29,Monitoring,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P004-A-01,P004,Smart Mobility Analytics,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Luca Conti,2026-04-13,2026-09-28,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P004-D-01,P004,Smart Mobility Analytics,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Julien Bernard,2026-04-20,2026-10-28,Mitigating,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P005-R-01,P005,Cloud Landing Zone,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Sara Khan,2026-01-26,2026-05-05,Mitigating,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P005-R-02,P005,Cloud Landing Zone,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Sara Khan,2026-02-02,2026-06-04,Open,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P005-I-01,P005,Cloud Landing Zone,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Sara Khan,2026-02-09,2026-07-04,Closed,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P005-A-01,P005,Cloud Landing Zone,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Amélie Dubois,2026-02-16,2026-08-03,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P005-D-01,P005,Cloud Landing Zone,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Sara Khan,2026-02-23,2026-08-31,Monitoring,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P006-R-01,P006,AML Data Quality,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Sara Khan,2026-02-23,2026-06-02,Open,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P006-R-02,P006,AML Data Quality,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Sara Khan,2026-03-02,2026-07-02,Monitoring,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P006-I-01,P006,AML Data Quality,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Sara Khan,2026-03-09,2026-08-01,Closed,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P006-A-01,P006,AML Data Quality,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Claire Muller,2026-03-16,2026-08-31,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P006-D-01,P006,AML Data Quality,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Sara Khan,2026-03-23,2026-09-30,Open,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P007-R-01,P007,Cyber Resilience Programme,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Nicolas Wagner,2026-02-02,2026-05-12,Monitoring,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P007-R-02,P007,Cyber Resilience Programme,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Nicolas Wagner,2026-02-09,2026-06-11,Open,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P007-I-01,P007,Cyber Resilience Programme,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Nicolas Wagner,2026-02-16,2026-07-11,Mitigating,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P007-A-01,P007,Cyber Resilience Programme,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Jean Schmit,2026-02-23,2026-08-10,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P007-D-01,P007,Cyber Resilience Programme,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Nicolas Wagner,2026-03-02,2026-09-09,Monitoring,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P008-R-01,P008,Customer 360 Platform,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Nicolas Wagner,2026-04-27,2026-08-04,Open,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P008-R-02,P008,Customer 360 Platform,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Nicolas Wagner,2026-05-04,2026-09-03,Mitigating,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P008-I-01,P008,Customer 360 Platform,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Nicolas Wagner,2026-05-11,2026-10-03,Monitoring,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P008-A-01,P008,Customer 360 Platform,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Amélie Dubois,2026-05-18,2026-11-02,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P008-D-01,P008,Customer 360 Platform,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Nicolas Wagner,2026-05-25,2026-12-02,Mitigating,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P009-R-01,P009,ERP Integration,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Maya Fernandes,2026-01-26,2026-05-05,Monitoring,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P009-R-02,P009,ERP Integration,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Maya Fernandes,2026-02-02,2026-06-04,Open,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P009-I-01,P009,ERP Integration,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Maya Fernandes,2026-02-09,2026-07-04,Closed,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P009-A-01,P009,ERP Integration,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Amélie Dubois,2026-02-16,2026-08-03,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P009-D-01,P009,ERP Integration,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Maya Fernandes,2026-02-23,2026-09-02,Mitigating,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P010-R-01,P010,GenAI Knowledge Assistant,Risk,Specialist availability may constrain critical delivery activities,Specialist availability may constrain critical delivery activities.,High,Medium,High,Nicolas Wagner,2026-05-25,2026-09-01,Monitoring,Confirm named backup resources and protect critical allocation.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P010-R-02,P010,GenAI Knowledge Assistant,Risk,Client approval cycles may delay acceptance milestones,Client approval cycles may delay acceptance milestones.,Medium,High,High,Nicolas Wagner,2026-06-01,2026-10-01,Mitigating,Agree approval SLA and escalate overdue decisions through governance.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P010-I-01,P010,GenAI Knowledge Assistant,Issue,A dependency has delivered incomplete or unstable input,A dependency has delivered incomplete or unstable input.,High,High,Critical,Nicolas Wagner,2026-06-08,2026-10-31,Mitigating,"Run daily triage, define workaround and assign recovery owner.",Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P010-A-01,P010,GenAI Knowledge Assistant,Assumption,Required client environments and test data will remain available,Required client environments and test data will remain available.,Medium,Medium,Medium,Luca Conti,2026-06-15,2026-11-30,Validated,Validate assumption at each stage gate.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
P010-D-01,P010,GenAI Knowledge Assistant,Dependency,Go-live depends on client security and infrastructure approval,Go-live depends on client security and infrastructure approval.,High,Medium,High,Nicolas Wagner,2026-06-22,2026-12-18,Open,Track evidence and decision dates in the integrated plan.,Action reviewed in the latest project status meeting.,PROJECT_MANAGEMENT_RESTRICTED,True
