month,project_id,project_name,client_name,revenue_type,recognized_revenue_eur,billed_revenue_eur,unbilled_revenue_eur,currency,classification,synthetic_record
2026-01,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,40731.21,29733.79,10997.43,EUR,FINANCE_RESTRICTED,True
2026-02,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,52917.31,38629.64,14287.67,EUR,FINANCE_RESTRICTED,True
2026-03,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,81785.58,59703.47,22082.11,EUR,FINANCE_RESTRICTED,True
2026-04,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,109508.98,79941.55,29567.42,EUR,FINANCE_RESTRICTED,True
2026-05,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,108911.36,79505.29,29406.07,EUR,FINANCE_RESTRICTED,True
2026-06,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,131202.42,95777.77,35424.65,EUR,FINANCE_RESTRICTED,True
2026-07,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,121944.0,89019.12,32924.88,EUR,FINANCE_RESTRICTED,True
2026-08,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,97674.22,71302.18,26372.04,EUR,FINANCE_RESTRICTED,True
2026-09,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,114475.05,83566.79,30908.26,EUR,FINANCE_RESTRICTED,True
2026-10,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,128679.37,93935.94,34743.43,EUR,FINANCE_RESTRICTED,True
2026-11,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,91510.51,66802.67,24707.84,EUR,FINANCE_RESTRICTED,True
2026-12,P001,LuxHealth Data Platform,Synthetic Client A S.A.,Professional Services,109660.0,80051.8,29608.2,EUR,FINANCE_RESTRICTED,True
2026-01,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,37715.34,29417.97,8297.37,EUR,FINANCE_RESTRICTED,True
2026-02,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,58087.75,45308.44,12779.3,EUR,FINANCE_RESTRICTED,True
2026-03,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,87706.65,68411.19,19295.46,EUR,FINANCE_RESTRICTED,True
2026-04,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,94886.09,74011.15,20874.94,EUR,FINANCE_RESTRICTED,True
2026-05,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,116656.48,90992.05,25664.42,EUR,FINANCE_RESTRICTED,True
2026-06,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,127977.19,99822.21,28154.98,EUR,FINANCE_RESTRICTED,True
2026-07,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,94269.99,73530.59,20739.4,EUR,FINANCE_RESTRICTED,True
2026-08,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,73632.58,57433.41,16199.17,EUR,FINANCE_RESTRICTED,True
2026-09,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,101461.67,79140.1,22321.57,EUR,FINANCE_RESTRICTED,True
2026-10,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,129627.78,101109.67,28518.11,EUR,FINANCE_RESTRICTED,True
2026-11,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,85704.16,66849.25,18854.92,EUR,FINANCE_RESTRICTED,True
2026-12,P002,Sovereign AI Factory,Synthetic Client B S.A.,Professional Services,102474.31,79929.96,22544.35,EUR,FINANCE_RESTRICTED,True
2026-01,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,31304.61,25043.69,6260.92,EUR,FINANCE_RESTRICTED,True
2026-02,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,50186.78,40149.42,10037.36,EUR,FINANCE_RESTRICTED,True
2026-03,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,54962.35,43969.88,10992.47,EUR,FINANCE_RESTRICTED,True
2026-04,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,91126.58,72901.26,18225.32,EUR,FINANCE_RESTRICTED,True
2026-05,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,89154.07,71323.26,17830.81,EUR,FINANCE_RESTRICTED,True
2026-06,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,114402.83,91522.26,22880.57,EUR,FINANCE_RESTRICTED,True
2026-07,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,106927.02,85541.62,21385.4,EUR,FINANCE_RESTRICTED,True
2026-08,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,85433.96,68347.17,17086.79,EUR,FINANCE_RESTRICTED,True
2026-09,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,112852.11,90281.69,22570.42,EUR,FINANCE_RESTRICTED,True
2026-10,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,110772.83,88618.27,22154.57,EUR,FINANCE_RESTRICTED,True
2026-11,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,101650.84,81320.67,20330.17,EUR,FINANCE_RESTRICTED,True
2026-12,P003,Core Banking Modernisation,Synthetic Client C S.A.,Professional Services,63226.02,50580.81,12645.2,EUR,FINANCE_RESTRICTED,True
2026-01,P004,Smart Mobility Analytics,Synthetic Client D S.A.,Professional Services,28487.82,23929.76,4558.05,EUR,FINANCE_RESTRICTED,True
2026-02,P004,Smart Mobility Analytics,Synthetic Client D S.A.,Professional Services,38362.93,32224.86,6138.07,EUR,FINANCE_RESTRICTED,True
2026-03,P004,Smart Mobility Analytics,Synthetic Client D S.A.,Professional Services,55127.11,46306.77,8820.34,EUR,FINANCE_RESTRICTED,True
2026-04,P004,Smart Mobility Analytics,Synthetic Client D S.A.,Professional Services,72418.62,60831.64,11586.98,EUR,FINANCE_RESTRICTED,True
2026-05,P004,Smart Mobility Analytics,Synthetic Client D S.A.,Professional Services,58453.14,49100.64,9352.5,EUR,FINANCE_RESTRICTED,True
