month,revenue_eur,personnel_cost_eur,direct_nonlabor_project_cost_eur,corporate_operating_expenses_eur,total_operating_cost_eur,operating_profit_eur,operating_margin_pct,classification,synthetic_record
2026-01,396330.98,470676.5,53044.87,183800.0,707521.37,-311190.39,-78.5,FINANCE_RESTRICTED_AGGREGATE,True
2026-02,487479.6,470676.5,65244.18,186000.0,721920.68,-234441.08,-48.1,FINANCE_RESTRICTED_AGGREGATE,True
2026-03,698361.41,475023.54,93468.56,206320.0,774812.1,-76450.69,-10.9,FINANCE_RESTRICTED_AGGREGATE,True
2026-04,861203.64,470676.5,115263.34,208520.0,794459.84,66743.8,7.8,FINANCE_RESTRICTED_AGGREGATE,True
2026-05,926610.98,470676.5,124017.44,217840.0,812533.94,114077.04,12.3,FINANCE_RESTRICTED_AGGREGATE,True
2026-06,1004729.25,474539.44,134472.78,213440.0,822452.22,182277.03,18.1,FINANCE_RESTRICTED_AGGREGATE,True
2026-07,1001567.72,470676.5,134049.64,170080.0,774806.14,226761.58,22.6,FINANCE_RESTRICTED_AGGREGATE,True
2026-08,853780.75,470676.5,114269.86,156360.0,741306.36,112474.39,13.2,FINANCE_RESTRICTED_AGGREGATE,True
2026-09,1070767.3,474284.27,143311.3,238160.0,855755.57,215011.73,20.1,FINANCE_RESTRICTED_AGGREGATE,True
2026-10,1123727.45,470676.5,150399.48,243080.0,864155.98,259571.47,23.1,FINANCE_RESTRICTED_AGGREGATE,True
2026-11,898395.68,474894.02,120241.11,229360.0,824495.13,73900.55,8.2,FINANCE_RESTRICTED_AGGREGATE,True
2026-12,817345.23,1009396.19,109393.34,271040.0,1389829.53,-572484.3,-70.0,FINANCE_RESTRICTED_AGGREGATE,True
