record_type,project_id,project_name,item_id,item_name,planned_start_date,planned_end_date,actual_or_forecast_date,planned_effort_hours,owner_name,status,acceptance_criteria,classification,synthetic_record
Work Package,P001,LuxHealth Data Platform,WP01,Initiation and discovery,2026-01-05,2026-02-16,2026-02-18,1081.2,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP02,Architecture and detailed design,2026-02-02,2026-04-12,2026-04-12,1776.3,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP03,Build and configuration,2026-03-22,2026-08-08,2026-08-08,3578.3,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP04,"Data, integration and migration",2026-04-19,2026-09-05,2026-09-05,3578.3,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP05,"Testing, validation and remediation",2026-08-01,2026-10-30,2026-11-04,2316.9,Amina Amar,In Progress,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP06,"Deployment, transition and closure",2026-10-17,2026-12-18,2026-12-23,1596.1,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P001,LuxHealth Data Platform,WP07,Project management and governance,2026-01-05,2026-12-18,2026-12-18,8932.8,Maya Fernandes,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P001,LuxHealth Data Platform,M01,Project kickoff,2026-01-12,2026-01-12,2026-01-17,0,Maya Fernandes,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P001,LuxHealth Data Platform,M02,Design baseline approved,2026-04-02,2026-04-02,2026-04-02,0,Maya Fernandes,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P001,LuxHealth Data Platform,M03,Minimum viable release completed,2026-07-15,2026-07-15,2026-07-15,0,Maya Fernandes,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
