month,metric,budget_eur,actual_eur,variance_eur,variance_pct,classification,synthetic_record
2026-01,Revenue,408184.21,396330.98,-11853.23,-2.9,FINANCE_RESTRICTED,True
2026-01,Operating Cost,713750.96,707521.37,-6229.59,-0.9,FINANCE_RESTRICTED,True
2026-02,Revenue,468878.53,487479.6,18601.07,4.0,FINANCE_RESTRICTED,True
2026-02,Operating Cost,701787.07,721920.68,20133.61,2.9,FINANCE_RESTRICTED,True
2026-03,Revenue,675092.1,698361.41,23269.31,3.4,FINANCE_RESTRICTED,True
2026-03,Operating Cost,760754.77,774812.1,14057.33,1.8,FINANCE_RESTRICTED,True
2026-04,Revenue,836209.76,861203.64,24993.88,3.0,FINANCE_RESTRICTED,True
2026-04,Operating Cost,820893.69,794459.84,-26433.85,-3.2,FINANCE_RESTRICTED,True
2026-05,Revenue,950127.75,926610.98,-23516.77,-2.5,FINANCE_RESTRICTED,True
2026-05,Operating Cost,841864.67,812533.94,-29330.73,-3.5,FINANCE_RESTRICTED,True
2026-06,Revenue,1015568.64,1004729.25,-10839.39,-1.1,FINANCE_RESTRICTED,True
2026-06,Operating Cost,793086.86,822452.22,29365.36,3.7,FINANCE_RESTRICTED,True
2026-07,Revenue,1038574.48,1001567.72,-37006.76,-3.6,FINANCE_RESTRICTED,True
2026-07,Operating Cost,779262.54,774806.14,-4456.4,-0.6,FINANCE_RESTRICTED,True
2026-08,Revenue,851203.86,853780.75,2576.89,0.3,FINANCE_RESTRICTED,True
2026-08,Operating Cost,768554.02,741306.36,-27247.66,-3.5,FINANCE_RESTRICTED,True
2026-09,Revenue,1073290.08,1070767.3,-2522.78,-0.2,FINANCE_RESTRICTED,True
2026-09,Operating Cost,881681.95,855755.57,-25926.38,-2.9,FINANCE_RESTRICTED,True
2026-10,Revenue,1134574.29,1123727.45,-10846.84,-1.0,FINANCE_RESTRICTED,True
2026-10,Operating Cost,839090.86,864155.98,25065.12,3.0,FINANCE_RESTRICTED,True
2026-11,Revenue,942547.92,898395.68,-44152.24,-4.7,FINANCE_RESTRICTED,True
2026-11,Operating Cost,806668.02,824495.13,17827.11,2.2,FINANCE_RESTRICTED,True
2026-12,Revenue,840863.7,817345.23,-23518.47,-2.8,FINANCE_RESTRICTED,True
2026-12,Operating Cost,1418161.8,1389829.53,-28332.27,-2.0,FINANCE_RESTRICTED,True
