project_id,project_name,project_manager_name,baseline_labor_budget_hours,baseline_labor_budget_eur,baseline_nonlabor_budget_eur,baseline_total_cost_budget_eur,approved_change_cost_eur,adjusted_total_cost_budget_eur,actual_labor_hours_to_date,actual_billable_hours_to_date,actual_labor_cost_to_date_eur,actual_nonlabor_cost_to_date_eur,actual_total_cost_to_date_eur,estimate_to_complete_eur,estimate_at_completion_eur,forecast_cost_variance_eur,planned_completion_pct,actual_completion_pct,planned_value_eur,earned_value_eur,cost_performance_index,schedule_performance_index,forecast_schedule_variance_days,cost_schedule_rag_status,classification,synthetic_record
P001,LuxHealth Data Platform,Maya Fernandes,8958.5,825580.29,112619.4,938199.69,25000.0,963199.69,8179.0,7511.5,754131.25,95048.5,849179.75,92694.51,941874.26,21325.43,86,84.3,828351.73,811977.34,0.96,0.98,7,Amber,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P002,Sovereign AI Factory,Maya Fernandes,6500.6,573097.14,195467.59,768564.73,36000.0,804564.73,5913.5,5307.5,521965.0,182656.73,704621.73,67218.22,771839.95,32724.78,92,93.5,740199.55,752268.02,1.07,1.02,-6,Green,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P003,Core Banking Modernisation,Julien Bernard,9230.6,862549.29,158639.16,1021188.45,36000.0,1057188.45,8492.5,7884.0,793187.5,127039.56,920227.06,100834.52,1021061.58,36126.87,100,88.3,1057188.45,933497.4,1.01,0.88,39,Red,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P004,Smart Mobility Analytics,Julien Bernard,6640.9,495315.43,95524.29,590839.72,36000.0,626839.72,5996.0,5481.5,447666.25,74216.24,521882.49,71184.99,593067.48,33772.24,82,79.8,514008.57,500218.1,0.96,0.97,9,Amber,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P005,Cloud Landing Zone,Sara Khan,5763.3,462430.86,101714.72,564145.58,36000.0,600145.58,5237.0,4830.5,419803.75,91108.06,510911.81,52165.98,563077.79,37067.79,100,93.7,600145.58,562336.41,1.1,0.94,14,Amber,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P006,AML Data Quality,Sara Khan,4057.3,336194.86,71566.59,407761.45,73000.0,480761.45,3690.5,3230.5,306046.25,66732.92,372779.17,36451.95,409231.12,71530.33,100,88.2,480761.45,424031.6,1.14,0.88,32,Red,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P007,Cyber Resilience Programme,Nicolas Wagner,9070.6,798743.79,92041.18,890784.97,125000.0,1015784.97,8233.5,7586.0,725005.0,86793.86,811798.86,78487.68,890286.54,125498.43,88,90.6,893890.77,920301.18,1.13,1.03,-10,Green,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P008,Customer 360 Platform,Nicolas Wagner,3700.8,312218.29,83090.5,395308.79,18000.0,413308.79,3336.0,2908.0,281141.25,66659.6,347800.85,49364.44,397165.29,16143.5,78,76.3,322380.86,315354.61,0.91,0.98,5,Amber,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P009,ERP Integration,Maya Fernandes,4257.9,309888.0,94802.89,404690.89,48000.0,452690.89,3889.5,3431.0,283041.25,80958.2,363999.45,41740.85,405740.3,46950.59,100,89.0,452690.89,402894.89,1.11,0.89,29,Red,PROJECT_MANAGEMENT_RESTRICTED_COST,True
P010,GenAI Knowledge Assistant,Nicolas Wagner,3703.3,292760.14,71195.51,363955.65,0.0,363955.65,3354.5,2948.0,266007.5,61633.02,327640.52,38722.7,366363.22,-2407.57,74,79.6,269327.18,289708.7,0.88,1.08,-18,Red,PROJECT_MANAGEMENT_RESTRICTED_COST,True
