change_request_id,project_id,project_name,request_date,change_type,requested_by,description,business_reason,estimated_cost_impact_eur,estimated_schedule_impact_days,decision_status,decision_date,approved_cost_impact_eur,approved_schedule_impact_days,decision_owner,classification,synthetic_record
CR-001,P001,LuxHealth Data Platform,2026-08-21,Technical,Synthetic Client A S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",36000,5,Pending,,0,0,Jean Schmit,PROJECT_MANAGEMENT_RESTRICTED,True
CR-002,P001,LuxHealth Data Platform,2026-03-05,Schedule,Synthetic Client A S.A.,Client dependency moved the planned test window.,"Protect delivery quality, compliance or business value.",25000,3,Approved,2026-03-17,25000,3,Jean Schmit,PROJECT_MANAGEMENT_RESTRICTED,True
CR-003,P002,Sovereign AI Factory,2026-07-29,Schedule,Synthetic Client B S.A.,Client dependency moved the planned test window.,"Protect delivery quality, compliance or business value.",65000,5,Rejected,2026-08-04,0,0,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
CR-004,P002,Sovereign AI Factory,2026-08-18,Compliance,Synthetic Client B S.A.,Additional evidence and security validation requested.,"Protect delivery quality, compliance or business value.",36000,15,Approved,2026-08-23,36000,15,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
CR-005,P003,Core Banking Modernisation,2026-07-29,Compliance,Synthetic Client C S.A.,Additional evidence and security validation requested.,"Protect delivery quality, compliance or business value.",12000,8,Pending,,0,0,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-006,P003,Core Banking Modernisation,2026-04-20,Scope,Synthetic Client C S.A.,Additional reporting and controls requested by client.,"Protect delivery quality, compliance or business value.",36000,15,Approved,2026-05-03,36000,15,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-007,P004,Smart Mobility Analytics,2026-10-16,Scope,Synthetic Client D S.A.,Additional reporting and controls requested by client.,"Protect delivery quality, compliance or business value.",36000,8,Approved,2026-10-30,36000,8,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
CR-008,P004,Smart Mobility Analytics,2026-08-28,Technical,Synthetic Client D S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",65000,8,Pending,,0,0,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
CR-009,P005,Cloud Landing Zone,2026-03-18,Technical,Synthetic Client E S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",65000,3,Pending,,0,0,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-010,P005,Cloud Landing Zone,2026-07-16,Schedule,Synthetic Client E S.A.,Client dependency moved the planned test window.,"Protect delivery quality, compliance or business value.",36000,15,Approved,2026-07-27,36000,15,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-011,P006,AML Data Quality,2026-04-08,Schedule,Synthetic Client F S.A.,Client dependency moved the planned test window.,"Protect delivery quality, compliance or business value.",48000,0,Approved,2026-04-13,48000,0,Claire Muller,PROJECT_MANAGEMENT_RESTRICTED,True
CR-012,P006,AML Data Quality,2026-09-08,Compliance,Synthetic Client F S.A.,Additional evidence and security validation requested.,"Protect delivery quality, compliance or business value.",25000,15,Approved,2026-09-21,25000,15,Claire Muller,PROJECT_MANAGEMENT_RESTRICTED,True
CR-013,P007,Cyber Resilience Programme,2026-03-11,Compliance,Synthetic Client G S.A.,Additional evidence and security validation requested.,"Protect delivery quality, compliance or business value.",65000,0,Approved,2026-03-17,65000,0,Jean Schmit,PROJECT_MANAGEMENT_RESTRICTED,True
CR-014,P007,Cyber Resilience Programme,2026-09-03,Scope,Synthetic Client G S.A.,Additional reporting and controls requested by client.,"Protect delivery quality, compliance or business value.",48000,0,Approved,2026-09-16,48000,0,Jean Schmit,PROJECT_MANAGEMENT_RESTRICTED,True
CR-015,P007,Cyber Resilience Programme,2026-05-29,Technical,Synthetic Client G S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",12000,15,Approved,2026-06-10,12000,15,Jean Schmit,PROJECT_MANAGEMENT_RESTRICTED,True
CR-016,P008,Customer 360 Platform,2026-10-30,Scope,Synthetic Client H S.A.,Additional reporting and controls requested by client.,"Protect delivery quality, compliance or business value.",18000,0,Approved,2026-11-04,18000,0,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-017,P008,Customer 360 Platform,2026-09-16,Technical,Synthetic Client H S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",25000,5,Rejected,2026-09-25,0,0,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-018,P009,ERP Integration,2026-06-21,Technical,Synthetic Client I S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",25000,3,Rejected,2026-06-28,0,0,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-019,P009,ERP Integration,2026-07-07,Schedule,Synthetic Client I S.A.,Client dependency moved the planned test window.,"Protect delivery quality, compliance or business value.",48000,5,Approved,2026-07-17,48000,5,Amélie Dubois,PROJECT_MANAGEMENT_RESTRICTED,True
CR-020,P010,GenAI Knowledge Assistant,2026-09-15,Scope,Synthetic Client J S.A.,Additional reporting and controls requested by client.,"Protect delivery quality, compliance or business value.",25000,3,Rejected,2026-09-24,0,0,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
CR-021,P010,GenAI Knowledge Assistant,2026-09-05,Technical,Synthetic Client J S.A.,Architecture adjustment required after integration discovery.,"Protect delivery quality, compliance or business value.",18000,0,Pending,,0,0,Luca Conti,PROJECT_MANAGEMENT_RESTRICTED,True
