project_id,project_name,client_name,industry_sector,contract_type,contract_value_eur,completion_pct,revenue_recognized_2026_eur,delivery_labor_cost_eur,subcontractor_cost_eur,cloud_and_license_cost_eur,travel_and_other_cost_eur,total_project_cost_eur,gross_profit_eur,gross_margin_pct,financial_status,classification,synthetic_record
P001,LuxHealth Data Platform,Synthetic Client A S.A.,Healthcare,Fixed Price,1450000,82.0,1189000.0,613011.54,51938.57,36601.97,24078.86,725630.94,463369.06,39.0,Healthy,FINANCE_RESTRICTED_PROJECT,True
P002,Sovereign AI Factory,Synthetic Client B S.A.,Public Sector,Time & Materials,1220000,91.0,1110200.0,570530.64,109828.09,60153.18,25486.32,765998.23,344201.77,31.0,Healthy,FINANCE_RESTRICTED_PROJECT,True
P003,Core Banking Modernisation,Synthetic Client C S.A.,Financial Services,Time & Materials,1150000,88.0,1012000.0,460893.58,77052.42,56382.4,25204.34,619532.74,392467.26,38.8,Healthy,FINANCE_RESTRICTED_PROJECT,True
P004,Smart Mobility Analytics,Synthetic Client D S.A.,Mobility,Fixed Price,980000,79.0,774200.0,365071.95,49160.97,35288.82,11074.5,460596.24,313603.76,40.5,Healthy,FINANCE_RESTRICTED_PROJECT,True
P005,Cloud Landing Zone,Synthetic Client E S.A.,Utilities,Time & Materials,870000,94.0,817800.0,435725.59,58064.14,29071.92,14578.66,537440.31,280359.69,34.3,Healthy,FINANCE_RESTRICTED_PROJECT,True
P006,AML Data Quality,Synthetic Client F S.A.,Financial Services,Fixed Price,760000,87.0,661200.0,341638.0,35212.97,24431.68,11921.94,413204.59,247995.41,37.5,Healthy,FINANCE_RESTRICTED_PROJECT,True
P007,Cyber Resilience Programme,Synthetic Client G S.A.,Public Sector,Time & Materials,930000,92.0,855600.0,460656.99,44232.34,32157.16,15651.68,552698.17,302901.83,35.4,Healthy,FINANCE_RESTRICTED_PROJECT,True
P008,Customer 360 Platform,Synthetic Client H S.A.,Retail,Fixed Price,690000,76.0,524400.0,257832.35,44073.09,27638.4,11379.01,340922.85,183477.15,35.0,Healthy,FINANCE_RESTRICTED_PROJECT,True
P009,ERP Integration,Synthetic Client I S.A.,Industry,Time & Materials,810000,90.0,729000.0,355760.37,53476.76,32266.06,9060.07,450563.26,278436.74,38.2,Healthy,FINANCE_RESTRICTED_PROJECT,True
P010,GenAI Knowledge Assistant,Synthetic Client J S.A.,Healthcare,Fixed Price,610000,81.0,494100.0,217616.44,39460.51,22008.66,9726.34,288811.95,205288.05,41.5,Healthy,FINANCE_RESTRICTED_PROJECT,True
P011,Managed Data Platform,Synthetic Client K S.A.,Telecom,Managed Service,1320000,96.0,1267200.0,638639.88,93817.97,56121.78,27032.78,815612.41,451587.59,35.6,Healthy,FINANCE_RESTRICTED_PROJECT,True
P012,Regulatory Reporting Hub,Synthetic Client L S.A.,Financial Services,Fixed Price,840000,84.0,705600.0,316662.7,49870.55,37531.3,16139.69,420204.24,285395.76,40.4,Healthy,FINANCE_RESTRICTED_PROJECT,True
